college_id,college_name,location,ranking,type,specializations_offered,average_cutoff_gre,average_cutoff_gate,average_cutoff_gmat,average_cutoff_sat,average_cutoff_toefl,average_cutoff_ielts,average_cutoff_gpa,tuition_fee_per_year,financial_aid_offered,application_deadline,program_duration,acceptance_rate,faculty_count,student_to_faculty_ratio,research_output,alumni_network_strength,campus_facilities,international_student_support,internship_opportunities,placement_rate,average_starting_salary,research_funding,industry_connections,accreditation,extracurricular_opportunities,housing_availability,preferred_countries,notable_alumni,program_language
26,College_26,"California, USA",209,Private,Mechanical Design,325,69,690,1359,102,8.5,3.88,24786,No,"December 28, 2024",2 years,11,145,15:1,High,Strong,"Labs, Libraries, Sports facilities",No,Yes,80,97854,$74M annually,No,None,"Clubs, Music",Yes,India,Alumni_38,Mandarin
27,College_27,"Mumbai, India",145,Public,Data Science,302,63,760,1407,110,8.1,2.64,42980,No,"December 12, 2024",4 years,15,320,17:1,Medium,Weak,"Recreational Centers, Labs",No,Yes,76,113079,$76M annually,Yes,None,"Clubs, Music",Yes,Australia,Alumni_96,Mandarin
28,College_28,"Tokyo, Japan",216,Public,Cyber Security,332,50,644,1445,105,6.7,2.88,30532,Yes,"December 26, 2024",4 years,67,295,5:1,Medium,Medium,"Dorms, Labs",No,No,100,77954,$14M annually,Yes,ABET,"Clubs, Music",Yes,UK,Alumni_56,Japanese
29,College_29,"Sydney, Australia",68,Public,Robotics,321,75,783,1529,108,7.6,3.98,20688,Yes,"December 24, 2024",3 years,36,266,14:1,Medium,Strong,"Labs, Libraries, Sports facilities",Yes,Yes,96,120357,$39M annually,No,ABET,"Sports, Music",No,Japan,Alumni_21,English
30,College_30,"London, UK",106,Private,Machine Learning,306,78,777,1447,85,6.2,3.29,40551,Yes,"December 21, 2024",2 years,74,236,14:1,High,Strong,"Libraries, Sports fields",Yes,Yes,69,146281,$20M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,USA,Alumni_26,English
31,College_31,"Sydney, Australia",137,Private,Artificial Intelligence,339,81,618,1403,93,7.6,3.23,59767,Yes,"December 9, 2024",2 years,71,64,14:1,Medium,Medium,"Labs, Libraries, Sports facilities",Yes,Yes,76,93843,$22M annually,No,ABET,"Sports, Music",No,USA,Alumni_64,Mandarin
32,College_32,"London, UK",195,Public,Cyber Security,296,96,744,1322,98,7.5,2.54,21769,No,"December 18, 2024",3 years,33,106,11:1,Low,Medium,"Libraries, Sports fields",No,No,57,87459,$38M annually,Yes,ABET,"Clubs, Music",Yes,Australia,Alumni_53,German
33,College_33,"Berlin, Germany",121,Public,Robotics,304,71,604,1480,85,8.5,3.26,11466,No,"December 9, 2024",3 years,61,488,17:1,High,Medium,"Libraries, Sports fields",Yes,Yes,90,51247,$100M annually,No,ABET,"Sports, Music",Yes,USA,Alumni_31,German
34,College_34,"Mumbai, India",143,Private,Cyber Security,302,53,760,1213,86,8.2,2.82,54928,No,"December 20, 2024",1 years,30,224,16:1,Low,Strong,"Libraries, Sports fields",No,Yes,64,54661,$26M annually,No,ABET,"Sports, Music",No,India,Alumni_77,English
35,College_35,"London, UK",216,Public,Artificial Intelligence,298,63,668,1239,100,6.2,2.52,23730,Yes,"December 15, 2024",1 years,37,347,13:1,Medium,Weak,"Libraries, Sports fields",Yes,No,62,71599,$90M annually,Yes,ABET,"Clubs, Music",Yes,Germany,Alumni_70,German
36,College_36,"California, USA",24,Public,Machine Learning,295,99,739,1416,118,6.8,3.2,18861,No,"December 24, 2024",2 years,46,452,18:1,High,Weak,"Recreational Centers, Labs",No,No,97,133810,$79M annually,No,None,"Sports, Music",Yes,India,Alumni_75,German
37,College_37,"California, USA",100,Public,Data Science,323,79,683,1370,113,6.8,2.87,19169,No,"December 16, 2024",2 years,15,313,17:1,Low,Strong,"Dorms, Labs",No,Yes,90,60937,$79M annually,Yes,ABET,"Sports, Music",Yes,USA,Alumni_34,French
38,College_38,"California, USA",6,Private,Data Science,295,53,647,1321,111,8.9,3.77,20709,No,"December 12, 2024",4 years,77,444,17:1,High,Strong,"Labs, Libraries, Sports facilities",No,Yes,57,123058,$42M annually,No,None,"Clubs, Music",Yes,UK,Alumni_8,Japanese
39,College_39,"California, USA",78,Private,Mechanical Design,333,68,617,1359,106,8.3,2.76,56198,Yes,"December 8, 2024",2 years,79,328,9:1,Low,Weak,"Dorms, Labs",Yes,Yes,96,59175,$96M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_27,English
40,College_40,"California, USA",195,Public,Robotics,334,56,741,1549,95,7.9,3.83,42404,Yes,"December 1, 2024",2 years,60,128,18:1,Low,Strong,"Recreational Centers, Labs",No,Yes,91,92354,$36M annually,Yes,None,"Sports, Music",Yes,India,Alumni_11,French
41,College_41,"Sydney, Australia",279,Private,Artificial Intelligence,306,61,703,1316,84,7.6,3.7,49065,No,"December 7, 2024",4 years,43,458,13:1,Medium,Strong,"Recreational Centers, Labs",Yes,Yes,74,103129,$14M annually,No,ABET,"Clubs, Music",No,Japan,Alumni_62,English
42,College_42,"Berlin, Germany",64,Private,Cyber Security,315,90,614,1391,100,8.9,3.77,27338,Yes,"December 11, 2024",2 years,57,168,19:1,High,Weak,"Labs, Libraries, Sports facilities",No,No,61,66290,$90M annually,Yes,None,"Sports, Music",Yes,USA,Alumni_59,Japanese
43,College_43,"California, USA",279,Public,Cyber Security,338,79,749,1504,99,9.0,2.75,59588,Yes,"December 15, 2024",1 years,89,113,9:1,Low,Medium,"Recreational Centers, Labs",Yes,Yes,84,62136,$86M annually,No,ABET,"Clubs, Music",Yes,India,Alumni_83,French
44,College_44,"Mumbai, India",26,Public,Cyber Security,323,84,683,1496,95,6.4,3.35,41448,No,"December 30, 2024",1 years,68,225,9:1,Low,Weak,"Dorms, Labs",No,No,86,61635,$64M annually,No,None,"Clubs, Music",Yes,India,Alumni_54,Mandarin
45,College_45,"Tokyo, Japan",242,Public,Mechanical Design,324,75,668,1416,95,6.8,3.45,14208,Yes,"December 26, 2024",2 years,55,424,6:1,Low,Medium,"Labs, Libraries, Sports facilities",No,Yes,78,139654,$49M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,USA,Alumni_97,German
46,College_46,"London, UK",86,Public,Artificial Intelligence,319,67,795,1301,84,8.9,3.77,25577,Yes,"December 23, 2024",2 years,74,472,15:1,Low,Medium,"Labs, Libraries, Sports facilities",Yes,No,73,135974,$28M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_86,English
47,College_47,"Tokyo, Japan",113,Public,Machine Learning,306,50,773,1309,92,8.1,3.95,34202,Yes,"December 20, 2024",3 years,27,92,6:1,High,Strong,"Labs, Libraries, Sports facilities",Yes,No,63,140305,$59M annually,No,None,"Sports, Music",No,Germany,Alumni_40,Japanese
48,College_48,"California, USA",1,Public,Data Science,313,96,652,1305,97,6.1,2.65,19093,Yes,"December 15, 2024",2 years,46,253,5:1,Medium,Weak,"Labs, Libraries, Sports facilities",No,No,79,97489,$66M annually,Yes,None,"Clubs, Music",No,Australia,Alumni_66,English
49,College_49,"Mumbai, India",71,Private,Data Science,307,59,800,1263,91,8.7,3.34,40309,Yes,"December 20, 2024",3 years,68,352,11:1,Low,Medium,"Dorms, Labs",Yes,Yes,91,76592,$16M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,USA,Alumni_51,English
50,College_50,"Mumbai, India",176,Private,Machine Learning,305,60,629,1395,80,7.0,2.66,48358,Yes,"December 14, 2024",2 years,13,139,5:1,Low,Weak,"Libraries, Sports fields",Yes,Yes,62,103555,$39M annually,No,ABET,"Sports, Music",Yes,UK,Alumni_41,German
51,College_51,"London, UK",191,Public,Robotics,307,67,632,1252,82,6.9,3.63,26085,No,"December 12, 2024",4 years,40,189,17:1,High,Weak,"Dorms, Labs",Yes,Yes,62,125426,$91M annually,No,ABET,"Clubs, Music",Yes,USA,Alumni_9,Japanese
52,College_52,"Berlin, Germany",103,Private,Mechanical Design,331,93,746,1206,87,6.7,2.87,16643,No,"December 15, 2024",1 years,80,411,12:1,Medium,Weak,"Labs, Libraries, Sports facilities",Yes,Yes,89,95901,$44M annually,No,None,"Clubs, Music",No,Germany,Alumni_60,Mandarin
53,College_53,"London, UK",144,Public,Robotics,321,97,738,1312,112,8.8,3.21,38885,Yes,"December 5, 2024",4 years,53,279,20:1,Low,Medium,"Libraries, Sports fields",No,No,95,66585,$27M annually,No,None,"Clubs, Music",No,Australia,Alumni_10,Japanese
54,College_54,"Tokyo, Japan",152,Private,Artificial Intelligence,317,98,794,1394,114,8.9,2.58,47821,No,"December 31, 2024",3 years,27,111,13:1,High,Medium,"Dorms, Labs",Yes,Yes,84,144123,$80M annually,No,None,"Sports, Music",Yes,USA,Alumni_53,Mandarin
55,College_55,"Berlin, Germany",189,Private,Robotics,315,71,784,1366,111,8.3,3.53,41769,No,"December 11, 2024",3 years,43,139,14:1,Low,Strong,"Libraries, Sports fields",No,Yes,67,119309,$100M annually,Yes,None,"Sports, Music",Yes,USA,Alumni_82,German
56,College_56,"Tokyo, Japan",178,Private,Mechanical Design,325,92,692,1366,87,8.3,2.76,54116,Yes,"December 11, 2024",4 years,14,196,16:1,High,Medium,"Libraries, Sports fields",No,Yes,85,104259,$68M annually,No,None,"Sports, Music",No,Australia,Alumni_26,Japanese
57,College_57,"Sydney, Australia",159,Private,Mechanical Design,298,87,674,1486,81,8.8,3.19,22174,Yes,"December 14, 2024",4 years,36,60,16:1,High,Weak,"Dorms, Labs",Yes,Yes,91,127212,$86M annually,Yes,ABET,"Clubs, Music",Yes,UK,Alumni_4,Mandarin
58,College_58,"Berlin, Germany",16,Private,Machine Learning,309,94,660,1409,95,7.1,2.69,42081,No,"December 20, 2024",3 years,52,245,5:1,Low,Weak,"Dorms, Labs",Yes,No,91,62831,$50M annually,Yes,ABET,"Sports, Music",Yes,Germany,Alumni_81,French
59,College_59,"Sydney, Australia",69,Private,Robotics,327,53,761,1211,117,7.5,2.65,39432,Yes,"December 26, 2024",1 years,72,447,8:1,High,Medium,"Labs, Libraries, Sports facilities",No,Yes,50,115242,$61M annually,Yes,None,"Clubs, Music",Yes,Germany,Alumni_83,Mandarin
60,College_60,"London, UK",145,Private,Robotics,296,90,703,1226,107,6.2,2.72,24838,No,"December 27, 2024",3 years,53,325,19:1,Medium,Weak,"Labs, Libraries, Sports facilities",Yes,No,71,120793,$27M annually,No,ABET,"Clubs, Music",Yes,UK,Alumni_24,Hindi
61,College_61,"London, UK",266,Public,Mechanical Design,321,82,645,1573,90,8.8,3.3,52926,No,"December 14, 2024",4 years,66,277,16:1,Low,Strong,"Dorms, Labs",No,No,100,138370,$74M annually,Yes,ABET,"Sports, Music",No,Japan,Alumni_42,French
62,College_62,"London, UK",119,Public,Data Science,340,64,764,1452,107,6.7,3.8,31763,Yes,"December 13, 2024",4 years,80,298,6:1,Medium,Medium,"Dorms, Labs",Yes,No,76,100972,$93M annually,No,None,"Clubs, Music",Yes,Japan,Alumni_24,English
63,College_63,"Tokyo, Japan",176,Private,Mechanical Design,315,57,676,1373,94,8.4,3.07,54044,Yes,"December 16, 2024",3 years,13,354,9:1,Medium,Medium,"Dorms, Labs",Yes,Yes,94,124328,$60M annually,No,None,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_50,English
64,College_64,"Tokyo, Japan",39,Private,Machine Learning,305,69,691,1314,88,6.9,3.08,56515,Yes,"December 4, 2024",1 years,26,263,6:1,Medium,Strong,"Recreational Centers, Labs",Yes,No,78,95227,$91M annually,Yes,ABET,"Sports, Music",No,India,Alumni_46,Mandarin
65,College_65,"Berlin, Germany",154,Public,Data Science,291,99,718,1571,97,7.9,3.97,11075,No,"December 1, 2024",2 years,35,150,14:1,High,Medium,"Libraries, Sports fields",No,Yes,51,143768,$63M annually,No,ABET,"Sports, Music",No,UK,Alumni_45,French
66,College_66,"London, UK",267,Private,Robotics,329,61,704,1269,80,6.6,2.87,59105,No,"December 19, 2024",1 years,62,96,18:1,Medium,Medium,"Labs, Libraries, Sports facilities",Yes,No,100,60590,$93M annually,No,ABET,"Clubs, Music",Yes,Japan,Alumni_27,English
67,College_67,"Tokyo, Japan",211,Public,Cyber Security,316,71,793,1380,109,8.1,3.76,32414,No,"December 10, 2024",1 years,84,413,18:1,Medium,Strong,"Labs, Libraries, Sports facilities",Yes,Yes,63,54833,$94M annually,No,None,"Sports, Music",Yes,USA,Alumni_52,Mandarin
68,College_68,"California, USA",72,Private,Mechanical Design,336,65,658,1584,98,7.9,3.76,32077,Yes,"December 27, 2024",1 years,46,111,17:1,Medium,Weak,"Recreational Centers, Labs",No,Yes,89,114967,$70M annually,No,ABET,"Clubs, Music",Yes,Japan,Alumni_47,Mandarin
69,College_69,"London, UK",152,Public,Artificial Intelligence,290,81,760,1369,88,7.3,3.86,16896,No,"December 19, 2024",4 years,78,410,18:1,Medium,Strong,"Dorms, Labs",Yes,No,66,73712,$10M annually,Yes,ABET,"Sports, Music",No,India,Alumni_87,Mandarin
70,College_70,"Berlin, Germany",38,Private,Artificial Intelligence,307,51,786,1475,110,6.0,3.0,33742,No,"December 24, 2024",3 years,31,163,16:1,Medium,Strong,"Recreational Centers, Labs",No,No,71,149117,$46M annually,Yes,ABET,"Clubs, Music",Yes,Germany,Alumni_52,English
71,College_71,"Berlin, Germany",261,Public,Artificial Intelligence,305,54,704,1485,99,7.4,3.29,29662,No,"December 9, 2024",1 years,82,313,9:1,Medium,Strong,"Dorms, Labs",No,No,83,104364,$60M annually,No,None,"Clubs, Music",No,India,Alumni_52,Hindi
72,College_72,"London, UK",143,Private,Mechanical Design,331,61,638,1266,101,6.1,2.59,48937,Yes,"December 21, 2024",2 years,63,445,18:1,High,Weak,"Libraries, Sports fields",No,No,95,56392,$73M annually,No,None,"Sports, Music",Yes,USA,Alumni_36,Japanese
73,College_73,"Berlin, Germany",57,Private,Robotics,315,88,796,1478,82,8.1,3.17,52647,No,"December 8, 2024",4 years,50,114,6:1,Medium,Weak,"Labs, Libraries, Sports facilities",Yes,No,57,97662,$45M annually,No,None,"Clubs, Music",No,USA,Alumni_77,German
74,College_74,"Sydney, Australia",177,Private,Artificial Intelligence,337,55,744,1451,114,7.4,3.76,53685,Yes,"December 28, 2024",3 years,55,325,13:1,Low,Strong,"Recreational Centers, Labs",No,Yes,77,139283,$12M annually,Yes,None,"Sports, Music",No,Japan,Alumni_4,English
75,College_75,"California, USA",181,Private,Mechanical Design,336,61,714,1591,115,7.0,3.51,23807,Yes,"December 6, 2024",2 years,40,295,11:1,Low,Medium,"Libraries, Sports fields",Yes,No,52,69656,$33M annually,Yes,ABET,"Sports, Music",No,India,Alumni_12,German
76,College_76,"California, USA",252,Private,Machine Learning,334,61,707,1524,118,6.6,3.96,22705,No,"December 17, 2024",2 years,71,370,18:1,Medium,Medium,"Recreational Centers, Labs",No,No,61,103568,$92M annually,No,None,"Sports, Clubs, Hackathons",No,USA,Alumni_13,Mandarin
77,College_77,"Sydney, Australia",116,Private,Data Science,291,79,751,1320,113,7.8,3.91,12555,Yes,"December 2, 2024",2 years,14,456,5:1,High,Weak,"Dorms, Labs",No,No,63,77861,$67M annually,No,None,"Sports, Music",No,USA,Alumni_50,English
78,College_78,"Mumbai, India",184,Public,Machine Learning,290,76,693,1542,92,6.3,3.0,27961,Yes,"December 16, 2024",1 years,40,105,18:1,High,Medium,"Dorms, Labs",Yes,No,83,93078,$80M annually,Yes,None,"Sports, Music",Yes,UK,Alumni_1,Mandarin
79,College_79,"Mumbai, India",95,Private,Data Science,313,60,628,1297,114,8.6,3.2,46938,No,"December 26, 2024",1 years,67,332,9:1,High,Medium,"Labs, Libraries, Sports facilities",No,Yes,63,90161,$81M annually,Yes,ABET,"Sports, Music",Yes,Australia,Alumni_27,German
80,College_80,"London, UK",81,Public,Data Science,302,66,796,1366,98,7.9,4.0,37552,Yes,"December 23, 2024",4 years,10,278,7:1,High,Weak,"Dorms, Labs",Yes,No,63,73926,$63M annually,No,None,"Sports, Music",Yes,UK,Alumni_97,German
81,College_81,"Tokyo, Japan",288,Public,Machine Learning,325,80,613,1391,102,6.1,3.41,16229,Yes,"December 2, 2024",3 years,41,136,9:1,High,Weak,"Recreational Centers, Labs",Yes,Yes,68,78797,$92M annually,Yes,None,"Clubs, Music",No,Germany,Alumni_55,French
82,College_82,"California, USA",233,Private,Robotics,311,60,724,1225,80,6.8,3.13,28354,No,"December 9, 2024",1 years,81,59,5:1,High,Strong,"Dorms, Labs",No,No,83,142038,$24M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,USA,Alumni_49,French
83,College_83,"Mumbai, India",263,Public,Mechanical Design,305,73,695,1322,115,8.6,2.59,34777,Yes,"December 6, 2024",3 years,84,359,7:1,Medium,Strong,"Libraries, Sports fields",No,Yes,89,90298,$58M annually,Yes,ABET,"Clubs, Music",No,India,Alumni_71,German
84,College_84,"London, UK",208,Public,Mechanical Design,308,91,625,1512,91,7.7,2.55,13078,Yes,"December 31, 2024",4 years,35,137,17:1,Low,Weak,"Recreational Centers, Labs",No,No,63,137345,$45M annually,No,ABET,"Clubs, Music",No,Australia,Alumni_90,Hindi
85,College_85,"Mumbai, India",251,Public,Mechanical Design,300,51,725,1367,119,7.4,2.78,58146,No,"December 1, 2024",3 years,12,233,16:1,High,Strong,"Recreational Centers, Labs",No,No,50,148188,$20M annually,Yes,None,"Sports, Music",No,India,Alumni_91,German
86,College_86,"London, UK",289,Private,Artificial Intelligence,301,84,750,1350,111,7.1,3.03,58027,Yes,"December 8, 2024",3 years,57,248,18:1,Low,Strong,"Recreational Centers, Labs",Yes,Yes,97,116302,$81M annually,Yes,None,"Sports, Music",Yes,Germany,Alumni_66,German
87,College_87,"Berlin, Germany",256,Private,Robotics,332,78,675,1485,114,8.9,3.95,51506,No,"December 16, 2024",4 years,54,88,17:1,High,Medium,"Recreational Centers, Labs",Yes,No,89,131737,$58M annually,No,ABET,"Sports, Music",No,Japan,Alumni_37,Mandarin
88,College_88,"Tokyo, Japan",121,Public,Artificial Intelligence,305,70,699,1556,89,6.3,3.16,58003,No,"December 13, 2024",4 years,62,490,19:1,High,Weak,"Recreational Centers, Labs",Yes,Yes,74,74724,$87M annually,Yes,None,"Sports, Music",No,Australia,Alumni_100,English
89,College_89,"California, USA",270,Public,Machine Learning,315,83,712,1395,101,7.3,3.2,40182,No,"December 5, 2024",1 years,38,346,18:1,Medium,Medium,"Recreational Centers, Labs",Yes,No,83,97081,$46M annually,Yes,ABET,"Sports, Music",Yes,India,Alumni_71,Hindi
90,College_90,"California, USA",211,Private,Artificial Intelligence,323,71,743,1246,93,6.2,3.04,52603,No,"December 18, 2024",1 years,19,279,9:1,Low,Medium,"Labs, Libraries, Sports facilities",No,Yes,58,117022,$42M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,Australia,Alumni_33,English
91,College_91,"Mumbai, India",286,Private,Cyber Security,320,70,665,1364,111,6.3,3.07,57271,Yes,"December 11, 2024",2 years,15,346,10:1,Low,Medium,"Recreational Centers, Labs",No,No,62,132061,$59M annually,Yes,None,"Sports, Music",Yes,Australia,Alumni_64,Mandarin
92,College_92,"London, UK",278,Private,Data Science,318,53,707,1342,110,8.3,3.54,40444,No,"December 9, 2024",1 years,82,228,13:1,Low,Medium,"Labs, Libraries, Sports facilities",No,Yes,52,120269,$13M annually,No,ABET,"Clubs, Music",No,India,Alumni_25,Hindi
93,College_93,"Sydney, Australia",291,Public,Mechanical Design,303,88,661,1325,86,6.2,2.81,55497,Yes,"December 5, 2024",1 years,47,187,13:1,Low,Weak,"Dorms, Labs",Yes,No,66,127094,$49M annually,Yes,None,"Clubs, Music",Yes,USA,Alumni_43,French
94,College_94,"Mumbai, India",179,Private,Mechanical Design,316,54,728,1408,96,8.1,2.76,15019,Yes,"December 30, 2024",1 years,21,300,15:1,Low,Medium,"Labs, Libraries, Sports facilities",No,No,87,59627,$68M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,India,Alumni_19,German
